,city,lat,temp,humidity,clouds,wind,date
340,kudahuvadhoo,-21.68,61.68,97,0,2.68,1538096191
341,kissidougou,21.05,82.4,78,75,9.17,1538091600
342,manicore,18.53,84.2,70,75,12.08,1538092080
343,kondinskoye,-4.22,80.58,86,36,2.46,1538096192
344,lianzhou,40.29,33.33,51,0,2.13,1538096192
345,mezen,17.62,73.56,97,24,3.13,1538096192
346,lolua,16.38,78.8,78,90,4.7,1538092380
347,pevek,52.25,44.49,79,0,4.59,1538096192
348,port blair,65.61,51.96,96,64,17.22,1538096193
349,elista,-1.57,77.52,100,92,8.95,1538096193
350,lovington,47.55,57.2,93,90,4.59,1538094600
351,marsa matruh,60.14,40.71,91,92,22.7,1538096193
352,burgeo,7.76,70.59,98,92,3.36,1538096194
353,canita,-20.21,71.6,78,40,11.41,1538092800
354,manacapuru,48.95,53.24,71,0,6.93,1538094600
355,plyussa,54.11,48.63,88,68,6.93,1538096195
356,kankaanpaa,69.47,35.6,69,36,12.75,1538094000
357,pokrovsk,78.22,24.8,68,20,17.22,1538092200
358,meulaboh,27.52,96.8,32,5,5.82,1538091780
359,gairo,61.4,42.69,82,44,6.71,1538096196
360,balkhash,36.36,51.8,81,0,2.24,1538094600
361,westport,8.18,72.84,96,24,5.93,1538096197
362,nueva loja,38.18,70.7,77,0,6.93,1538094600
363,ormara,21.43,74.64,63,0,5.03,1538096197
364,nioaque,3.87,80.22,78,36,3.02,1538096197
365,port-gentil,-20.07,74.55,77,0,5.93,1538096197
366,manzhouli,-8.15,82.56,91,68,13.2,1538096198
367,svetlaya,-22.46,62.6,9,0,12.75,1538092800
368,kyaikkami,-16.84,74.82,63,0,6.6,1538096198
369,almaznyy,49.22,50.34,89,48,2.46,1538096198
370,portland,11.72,80.49,100,80,15.77,1538096199
371,ancud,59.06,45.21,83,0,3.13,1538096199
372,torbay,-33.69,60.78,84,92,15.99,1538096199
373,aklavik,5.28,84.22,88,75,5.59,1538094600
374,beroroha,65.42,38.1,96,92,9.06,1538096200
375,teya,5.26,75.54,95,64,7.61,1538096200
376,frontera,67.55,32.79,88,0,8.05,1538096200
377,haibowan,5.92,77.88,100,48,11.18,1538096200
378,ambunti,38.94,35.85,45,0,8.61,1538096201
379,yumen,-43.3,46.65,82,80,15.1,1538096201
380,mahbubabad,-14.91,46.4,65,75,14.99,1538092800
381,champerico,-20.63,70.5,72,44,3.69,1538096202
382,klyuchi,-17.73,77.07,100,8,16.78,1538096202
383,staryy nadym,0.52,73.47,98,92,2.13,1538096202
384,omboue,60.91,41,86,92,19.46,1538092200
385,ambon,56.13,42.8,81,0,11.18,1538092800
386,nanortalik,51.56,37.4,74,75,10.29,1538092800
387,nzerekore,50.84,57.2,76,90,12.75,1538094420
388,quatre cocos,-0.92,78.24,100,20,3.91,1538095917
